movie_id,title,year,runtime,language,genre,overview,prod_countries,budget,gross,profit,tmdb_rating
1,12 Angry Men,1957,97,English,Drama,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",United States of America,350000,1000000,650000,8.5
2,2001: A Space Odyssey,1968,149,English,"Science Fiction, Mystery, Adventure","Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.","United Kingdom, United States of America",12000000,71923560,59923560,8.1
3,81/2,1963,139,Italian,"Fantasy, Drama","Guido Anselmi, a film director, finds himself creatively barren at the peak of his career. Urged by his doctors to rest, Anselmi heads for a luxurious resort, but a sorry group gathers?his producer, staff, actors, wife, mistress, and relatives?each one begging him to get on with the show. In retreat from their dependency, he fantasizes about past women and dreams of his childhood.","Italy, France",NULL,50000,NULL,8.2
4,A Separation,2011,123,Farsi,Drama,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,"Australia, France, Iran",5000000,24426169,19426169,7.9
5,A Summer's Tale,1996,113,French,"Comedy, Drama, Romance","A shy maths graduate takes a holiday in Dinard before starting his first job. He hopes his sort-of girlfriend will join him, but soon strikes up a friendship with another girl working in town. She in turn introduces him to a further young lady who fancies him. Thus the quiet young lad finds he is having to do some tricky juggling in territory new to him.",France,NULL,NULL,NULL,7.4
6,About Time,2013,123,English,"Drama, Romance, Fantasy","The night after another unsatisfactory New Year's party, Tim's father tells his son that the men in his family have always had the ability to travel through time. They can't change history, but they can change what happens and has happened in their own lives. Thus begins the start of a lesson in learning to appreciate life itself as it is, as it comes, and most importantly, the people living alongside us.",United Kingdom,12000000,87100449,75100449,7.9
7,Aftersun,2022,102,English,Drama,Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between miniDV footage as she tries to reconcile the father she knew with the man she didn't.,"Turkey, United Kingdom, United States of America",NULL,4785157,NULL,7.7
8,Aloners,2021,91,Korean,Drama,"Jina is the top employee at a credit card company call center. She avoids building close relationships, choosing instead to live and work alone ? until she is suddenly tasked with training a new recruit.",South Korea,NULL,NULL,NULL,6.8
9,Amadeus,1984,161,English,"History, Music, Drama","Wolfgang Amadeus Mozart is a remarkably talented young Viennese composer who unwittingly finds a fierce rival in the disciplined and determined Antonio Salieri. Resenting Mozart for both his hedonistic lifestyle and his undeniable talent, the highly religious Salieri is gradually consumed by his jealousy and becomes obsessed with Mozart's downfall, leading to a devious scheme that has dire consequences for both men.",United States of America,18000000,51973029,33973029,8.0
10,An Education,2009,100,English,"Drama, Romance","Despite her sheltered upbringing, Jenny is a teen with a bright future; she's smart, pretty, and has aspirations of attending Oxford University. When David, a charming but much older suitor, motors into her life in a shiny automobile, Jenny gets a taste of adult life that she won't soon forget.",United Kingdom,7500000,26096852,18596852,6.9
11,Anna Karenina,2012,130,English,"Drama, Romance","In Imperial Russia, Anna, the wife of the officer Karenin, goes to Moscow to visit her brother. On the way, she meets the charming cavalry officer Vronsky to whom she is immediately attracted. But in St. Petersburg?s high society, a relationship like this could destroy a woman?s reputation.","United Kingdom, United States of America",NULL,68929150,NULL,6.7
12,Another Round,2020,117,Danish,"Comedy, Drama",Four high school teachers launch a drinking experiment: upholding a constant low level of intoxication.,"Denmark, Netherlands, Sweden",5150000,21700000,16550000,7.7
13,"Argentina, 1985",2022,141,Spanish,"Drama, History","In the 1980s, a team of lawyers takes on the heads of Argentina's bloody military dictatorship in a battle against odds and a race against time.","Argentina, United Kingdom",NULL,871621,NULL,8.0
14,Asteroid City,2023,105,English,"Comedy, Drama","In an American desert town circa 1955, the itinerary of a Junior Stargazer/Space Cadet convention is spectacularly disrupted by world-changing events.",United States of America,25000000,47281670,22281670,6.6
15,Au Revoir les Enfants,1987,105,French,"Drama, War","Au revoir les enfants tells a heartbreaking story of friendship and devastating loss concerning two boys living in Nazi-occupied France. At a provincial Catholic boarding school, the precocious youths enjoy true camaraderie?until a secret is revealed. Based on events from writer-director Malle?s own childhood, the film is a subtle, precisely observed tale of courage, cowardice, and tragic awakening.","Germany, France, Italy",NULL,4540000,NULL,7.5
16,Beau Travail,2000,92,French,Drama,"Foreign Legion officer Galoup recalls his once glorious life, training troops in the Gulf of Djibouti. His existence there was happy, strict and regimented, until the arrival of a promising young recruit, Sentain, plants the seeds of jealousy in Galoup's mind.",France,NULL,250000,NULL,7.0
17,Bergman Island,2021,113,English,"Drama, Romance","An English-German filmmaking couple retreat to Faro for the summer to each write screenplays for their upcoming films in an act of pilgrimage to the place that inspired Ingmar Bergman. As the summer and their screenplays advance, the lines between reality and fiction start to blur against the backdrop of the Island's wild landscape.","Belgium, France, Germany, Mexico, Sweden",NULL,589895,NULL,6.2
18,Bottoms,2023,92,English,Comedy,Unpopular best friends PJ and Josie start a high school self-defense club to meet girls and lose their virginity. They soon find themselves in over their heads when the most popular students start beating each other up in the name of self-defense.,United States of America,11300000,11600000,300000,7.1
19,Broker,2022,129,Korean,"Drama, Comedy","Sang-hyeon is always struggling from debt, and Dong-soo works at a baby box facility. On a rainy night, they steal the baby Woo-sung, who was left in the baby box, to sell him at a good price. Meanwhile, detectives were watching, and they quietly track them down to capture the crucial evidence.",South Korea,NULL,18632208,NULL,7.2
20,C'mon C'mon,2021,109,English,Drama,Johnny and his young nephew forge a tenuous but transformational relationship when they embark on a cross-country trip to see life away from Los Angeles.,United States of America,8300000,4300000,-4000000,7.3
21,Carol,2015,118,English,"Romance, Drama","In 1950s New York, a department-store clerk who dreams of a better life falls for an older, married woman.","United Kingdom, United States of America",11800000,40272135,28472135,7.5
22,Casablanca,1943,102,English,"Drama, Romance","In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.",United States of America,878000,10462500,9584500,8.2
23,Certified Copy,2010,106,French,"Drama, Romance","In Tuscany to promote his latest book, a middle-aged English writer meets a French woman who leads him to the village of Lucignano.","Belgium, France, Iran, Italy",7000000,7736632,736632,7.0
24,Cha Cha Real Smooth,2022,108,English,"Comedy, Drama, Romance","Fresh out of college and stuck at his New Jersey home without a clear path forward, 22-year-old Andrew begins working as a party starter for bar/bat mitzvahs?where he strikes up a unique friendship with a young mom and her teenage daughter.",United States of America,NULL,NULL,NULL,7.2
25,Chungking Express,1994,103,Cantonese,"Drama, Comedy, Romance","Two melancholic Hong Kong policemen fall in love: one with a mysterious underworld figure, the other with a beautiful and ethereal server at a late-night restaurant.",Hong Kong,160000,600000,440000,8.0
26,Citizen Kane,1941,119,English,"Mystery, Drama","Newspaper magnate, Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.",United States of America,839727,23218000,22378273,8.0
27,Cleo from 5 to 7,1962,90,French,Drama,"Agnes Varda eloquently captures Paris in the sixties with this real-time portrait of a singer set adrift in the city as she awaits test results of a biopsy. A chronicle of the minutes of one woman?s life, Cleo from 5 to 7 is a spirited mix of vivid verite and melodrama, featuring a score by Michel Legrand and cameos by Jean-Luc Godard and Anna Karina.","France, Italy",NULL,NULL,NULL,7.7
28,Closely Watched Trains,1966,93,Czech,"Comedy, Drama, War","At a village railway station in occupied Czechoslovakia, a bumbling dispatcher?s apprentice longs to liberate himself from his virginity. Oblivious to the war and the resistance that surrounds him, this young man embarks on a journey of sexual awakening and self-discovery, encountering a universe of frustration, eroticism, and adventure within his sleepy backwater depot.",Czechoslovakia,NULL,3270000,NULL,7.3
29,Coffee and Cigarettes,2003,96,English,"Comedy, Drama",Coffee And Cigarettes is a collection of eleven films from cult director Jim Jarmusch. Each film hosts star studded cast of extremely unique individuals who all share the common activities of conversing while drinking coffee and smoking cigarettes.,United States of America,NULL,7897645,NULL,7.0
30,Comet,2014,91,English,"Science Fiction, Comedy, Romance","When a chance encounter brings together the cynical Dell and the quick-witted Kimberly, the stage is set for a tempestuous love affair that unfolds like a puzzle. As the film zigzags back and forth in time-from a meteor shower in LA, to an encounter in a Paris hotel room, to a fateful phone call ? an unforgettable portrait of a relationship emerges.",United States of America,NULL,NULL,NULL,6.7
31,Compartment No. 6,2021,106,Finnish,Drama,"A young Finnish woman escapes an enigmatic love affair in Moscow by boarding a train to the arctic port of Murmansk. Forced to share the long ride and a tiny sleeping car with a larger than life Russian miner, the unexpected encounter leads the occupants of Compartment No. 6 to face major truths about human connection.","Estonia, Finland, Germany, Russia",2412000,NULL,NULL,7.1
32,"Crazy, Stupid, Love.",2011,118,English,"Comedy, Drama, Romance","Cal Weaver is living the American dream. He has a good job, a beautiful house, great children and a beautiful wife, named Emily. Cal's seemingly perfect life unravels, however, when he learns that Emily has been unfaithful and wants a divorce. Over 40 and suddenly single, Cal is adrift in the fickle world of dating. Enter, Jacob Palmer, a self-styled player who takes Cal under his wing and teaches him how to be a hit with the ladies.",United States of America,50000000,145079584,95079584,7.3
33,Decision to Leave,2022,138,Korean,"Thriller, Mystery, Romance","From a mountain peak in South Korea, a man plummets to his death. Did he jump, or was he pushed? When detective Hae-joon arrives on the scene, he begins to suspect the dead man?s wife Seo-rae. But as he digs deeper into the investigation, he finds himself trapped in a web of deception and desire.",South Korea,NULL,16914773,NULL,7.4
34,Do the Right Thing,1989,120,English,Drama,"Salvatore Fragione is the Italian owner of a pizzeria in Brooklyn. A neighborhood local, Buggin' Out, becomes upset when he sees that the pizzeria's Wall of Fame exhibits only Italian actors. Buggin' Out believes a pizzeria in a black neighborhood should showcase black actors, but Sal disagrees. The wall becomes a symbol of racism and hate to Buggin' Out and to other people in the neighborhood, and tensions rise.",United States of America,6500000,37300000,30800000,7.8
35,Dog Day Afternoon,1975,125,English,"Crime, Drama, Thriller","Based on the true story of would-be Brooklyn bank robbers John Wojtowicz and Salvatore Naturale. Sonny and Sal attempt a bank heist which quickly turns sour and escalates into a hostage situation and stand-off with the police. As Sonny's motives for the robbery are slowly revealed and things become more complicated, the heist turns into a media circus.",United States of America,1800000,46665856,44865856,7.8
36,Drive,2011,100,English,"Drama, Thriller, Crime","Driver is a skilled Hollywood stuntman who moonlights as a getaway driver for criminals. Though he projects an icy exterior, lately he's been warming up to a pretty neighbor named Irene and her young son, Benicio. When Irene's husband gets out of jail, he enlists Driver's help in a million-dollar heist. The job goes horribly wrong, and Driver must risk his life to protect Irene and Benicio from the vengeful masterminds behind the robbery.",United States of America,15000000,78054825,63054825,7.6
37,Dune,2021,155,English,"Science Fiction, Adventure","Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",United States of America,165000000,402027830,237027830,7.8
38,Everything Everywhere All at Once,2022,140,English,"Action, Adventure, Science Fiction","An aging Chinese immigrant is swept up in an insane adventure, where she alone can save what's important to her by connecting with the lives she could have led in other universes.",United States of America,25000000,139200000,114200000,7.8
39,Fallen Angels,1995,98,Cantonese,"Action, Romance, Crime",Two tales of crimes intertwine in present-day Hong Kong.,Hong Kong,NULL,NULL,NULL,7.7
40,Fantastic Mr. Fox,2009,87,English,"Adventure, Animation, Comedy, Family","The Fantastic Mr. Fox, bored with his current life, plans a heist against the three local farmers. The farmers, tired of sharing their chickens with the sly fox, seek revenge against him and his family.",United States of America,40000000,46471023,6471023,7.8
41,Gifted,2017,101,English,"Drama, Comedy","Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother.",United States of America,7000000,40343446,33343446,8.0
42,Glass Onion: A Knives Out Mystery,2022,140,English,"Comedy, Crime, Mystery",World-famous detective Benoit Blanc heads to Greece to peel back the layers of a mystery surrounding a tech billionaire and his eclectic crew of friends.,United States of America,40000000,13280000,-26720000,7.1
43,Half Nelson,2006,107,English,Drama,"Despite his dedication to the junior-high students who fill his classroom, idealistic teacher Dan Dunne leads a secret life of addiction that the majority of his students will never know. But things change when a troubled student Drey makes a startling discovery of his secret life, causing a tenuous bond between the two that could either end disastrously or provide a catalyst of hope.",United States of America,700000,4911725,4211725,6.6
44,Harakiri,1962,135,Japanese,"Action, Drama, History","Down-on-his-luck veteran Tsugumo Hanshiro enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku?and a worthy second to deliver the coup de grace in his suicide ritual. The senior counselor for the Iyi clan questions the ronin?s resolve and integrity, suspecting Hanshiro of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",Japan,NULL,NULL,NULL,8.4
45,Hiroshima Mon Amour,1959,92,French,"Drama, History, Romance","The deep conversation between a Japanese architect and a French actress forms the basis of this celebrated French film, considered one of the vanguard productions of the French New Wave. Set in Hiroshima after the end of World War II, the couple -- lovers turned friends -- recount, over many hours, previous romances and life experiences. The two intertwine their stories about the past with pondering the devastation wrought by the atomic bomb dropped on the city.","France, Japan",NULL,3193,NULL,7.8
46,House of Hummingbird,2019,135,Korean,Drama,"In 1994 Seoul, a teenage girl's life is changed when a new teacher enters her life.",South Korea,NULL,1041948,NULL,7.6
